EN,Number_of_bridges_with_this_element
215,5423
306,5412
510,5304
515,4250
330,3834
310,3384
331,3017
38,2890
234,2226
205,2151
12,1842
16,1642
110,1279
225,1245
109,1177
220,1152
311,828
107,815
228,755
301,731
210,700
219,654
521,651
216,555
302,542
313,541
104,524
231,427
235,364
31,351
111,335
332,322
155,321
152,303
15,302
300,299
226,270
241,251
113,202
105,195
30,186
202,185
304,159
120,135
162,131
314,129
161,119
240,118
116,106
206,106
303,91
54,87
305,70
312,58
144,55
117,54
227,54
156,43
102,37
135,33
217,31
28,29
315,23
333,19
204,18
233,16
334,15
218,15
141,12
29,12
316,10
13,9
60,9
154,8
148,7
243,6
203,6
147,4
143,4
245,4
118,3
213,2
115,2
146,1
157,1
236,1
