EN,Number_of_bridges_with_this_element
306,6098
215,5555
510,5537
515,4634
330,4340
310,3452
331,3330
38,2916
12,2498
13,2404
234,2296
205,2238
16,1961
110,1339
225,1321
220,1265
109,1199
301,957
311,915
107,870
228,834
210,746
521,720
219,686
216,681
302,653
313,610
104,562
235,465
231,465
31,436
332,420
111,401
300,352
155,340
15,331
152,322
304,283
226,280
202,278
241,262
113,216
30,206
105,201
206,153
120,148
162,142
314,137
240,124
161,120
116,115
303,104
54,92
305,80
227,74
312,69
333,68
117,62
144,58
156,46
217,44
102,37
135,35
204,35
28,32
315,24
316,18
218,18
334,16
233,16
29,13
141,13
60,13
147,8
154,8
245,8
203,7
148,7
243,6
143,4
118,3
115,2
213,2
146,1
236,1
157,1
112,1
