BE01,unit,description,element_value
12,ft2,Reinforced Concrete Deck,30
15,ft2,"Prestressed Concrete Top Flange (used as riding surface, e.g., box girder)",30
16,ft2,Reinforced Concrete Top Flange,30
30,ft2,Steel Deck Corrugated/Orthotropic/Etc.,25
31,ft2,Timber Deck,15
38,ft2,Reinforced Concrete Slab (in slab bridges),35
60,ft2,Other Deck,10
104,ft,Prestressed Concrete Closed Web/Box Girder,300
105,ft,Reinforced Concrete Closed Web/Box Girder,300
107,ft,Steel Open Girder/Beam,250
109,ft,Prestressed Concrete Open Girder/Beam,250
110,ft,Reinforced Concrete Open Girder/Beam,250
111,ft,Timber Open Girder/Beam,100
113,ft,Steel Stringer,200
116,ft,Reinforced Concrete Stringer,200
120,ft,Steel Truss,800
144,ft,Reinforced Concrete Arch,800
152,ft,Steel Floor Beam,250
154,ft,Prestressed Concrete Floor Beam,250
155,ft,Reinforced Concrete Floor Beam,250
161,each,Steel Pin and Pin & Hanger Assembly or both,5000
202,each,Steel Column,15000
205,each,Reinforced Concrete Column,15000
210,ft,Reinforced Concrete Pier Wall,800
215,ft,Reinforced Concrete Abutment,800
217,ft,Masonry Abutment,600
220,ft,Reinforced Concrete Pile Cap/Footing,800
225,each,Steel Pile,10000
226,each,Prestressed Concrete Pile,10000
231,ft,Steel Pier Cap,800
233,ft,Prestressed Concrete Pier Cap,800
234,ft,Reinforced Concrete Pier Cap,800
241,ft,Reinforced Concrete Culvert,1200
300,ft,Strip Seal Expansion Joint,200
301,ft,Pourable Joint Seal,100
302,ft,Compression Joint Seal,150
303,ft,Assembly Joint with Seal,300
304,ft,Open Expansion Joint,150
305,ft,Assembly Joint without Seal,300
306,ft,Other Joint,100
310,each,Elastomeric Bearing,1500
311,each,Movable Bearing,3000
312,each,Enclosed/Concealed Bearing,3500
313,each,Fixed Bearing,2000
314,each,Pot Bearing,4000
330,ft,Metal Bridge Railing,150
331,ft,Reinforced Concrete Bridge Railing,200
332,ft,Timber Bridge Railing,100
333,ft,Other Bridge Railing,150
510,ft2,Wearing Surfaces,10
515,ft2,Steel Protective Coating,15
521,ft2,Concrete Protective Coating,10
