STRUCNUM,Common_EN_List,Number_of_common_elements
00001 000 00005,"(16, 110, 215, 306, 310, 330, 510, 515)",8
00004 000 00010,"(12, 107, 215, 225, 231, 306, 330, 510, 515)",9
000604000000000,"(241, 331, 510)",3
000622036700261,"(241,)",1
00072A060 00605,"(16, 38, 110, 210, 215)",5
00108B002 11455,"(12, 107, 113, 120, 152, 205, 215, 234, 300, 311, 313, 331, 515)",13
00118A000 00064,"(12, 109, 205, 215, 234, 310, 331, 515)",8
001229190000318,"(12, 107, 210, 215, 220, 302, 306, 310, 311, 313, 330, 331, 510, 515)",14
00123G030 02600,"(16, 105, 205, 215, 234, 306, 310, 331, 510)",9
00123K030 02590,"(12, 16, 105, 107, 110, 205, 215, 220, 234, 303, 306, 310, 311, 313, 330, 331, 515)",17
001336150000487,"(12, 16, 38, 105, 109, 205, 215, 220, 234, 300, 314, 331, 510)",13
00142 414700928,"(110, 210, 215, 331, 510)",5
00144 414700848,"(38, 210, 215, 331, 510)",5
00146A02W 05305,"(205, 215, 234, 306, 331, 510)",6
00159A604 00081,"(12, 109, 215, 225, 306, 330, 515)",7
00163B226 01951,"(12, 109, 205, 215, 225, 234, 306, 310, 331)",9
00185A02W 07071,"(38, 205, 210, 215, 331, 510)",6
00191A02W 04074,"(16, 110, 219, 225, 228, 231, 235, 306, 310, 331, 510)",11
00196A045 05393,"(241,)",1
00200A026 10236,"(38, 104, 110, 155, 205, 210, 215, 234, 300, 306, 314, 330, 331, 510, 515)",15
00231A191 00299,"(12, 38, 109, 116, 144, 155, 215, 220, 306, 310, 331, 510)",12
00240C005 11254,"(219, 225, 310, 330, 510, 515)",6
00241B005 11004,"(215, 310, 330, 510, 515)",5
00241C005 11821,"(215, 306, 310, 330, 510, 515)",6
00242B005 10763,"(240, 515)",2
00290A005 09547,"(215, 330, 510, 515)",4
003080000000000,"(16, 110, 155, 205, 215, 220, 234, 302, 306, 331, 510)",11
00315F019 00020,"(12, 110, 215, 331, 510)",5
00330 105 00689,"(12, 28, 107, 111, 113, 120, 152, 162, 205, 216, 220, 225, 228, 235, 306, 330, 331, 332, 510, 515)",20
00332 301 00291,"(16, 110, 116, 155, 205, 215, 220, 234, 302, 311, 330, 510, 515)",13
00332A271 00009,"(16, 38, 110, 116, 144, 155, 205, 215, 220, 234, 301, 306, 310, 311, 331, 510)",16
00332C002 09985,"(12, 107, 205, 215, 234, 311, 313, 331, 510, 515)",10
00338 02WF03647,"(110, 205, 215, 234, 306, 331, 510)",7
00338A02W 03647,"(16, 110, 205, 215, 234, 306, 311, 330, 331, 510, 515)",11
00340 000 00000,"(38, 210, 215, 220, 331, 510)",6
00351A030 01831,"(38, 215, 226, 234, 306, 331, 510)",7
00357 003 01143,"(12, 107, 110, 113, 141, 152, 155, 205, 210, 215, 234, 300, 310, 311, 312, 313, 331, 510, 515)",19
00360A164 00698,"(202, 210, 215, 216, 220, 228, 231, 235, 306, 330, 510, 515)",12
00361 164 00712,"(16, 110, 210, 215, 306, 330, 510, 515)",8
00365A001F24486,"(38, 215, 306, 330, 331, 510, 515)",7
00366 164 00264,"(16, 38, 110, 215, 306, 330, 331, 510, 515)",9
00367A001 24496,"(241,)",1
00372A01W 04729,"(16, 110, 205, 215, 220, 234, 306, 311, 331, 510)",10
00373 225 00101,"(16, 38, 110, 205, 215, 220, 234, 306, 310, 311, 331, 510)",12
00392A063 00109,"(241,)",1
00394 01W 10368,"(16, 110, 210, 215, 220, 306, 331, 510)",8
00398A058 00690,"(241,)",1
00399 058 00880,"(16, 110, 306, 330, 510, 515)",6
003C32000000195,"(240, 515)",2
00403A01W 05106,"(16, 110, 215, 306, 331, 510)",6
004066514001208,"(215, 310, 330, 510, 515)",5
00406A021 00076,"(12, 109, 205, 215, 234, 302, 306, 310, 330, 331, 515, 521)",12
00409 003 00676,"(38, 110, 144, 155, 205, 210, 215, 234, 306, 311, 331, 510, 515)",13
00409B003 00682,"(12, 109, 205, 215, 225, 234, 306, 310, 331, 510, 515)",11
00412A060 01083,"(16, 110, 205, 215, 234, 306, 331, 510)",8
00413 060 01221,"(16, 110, 205, 215, 234, 306, 331, 510)",8
00416A01W 04489,"(12, 16, 109, 110, 155, 205, 215, 225, 234, 306, 310, 311, 331, 510)",14
00417 01W 04975,"(13, 16, 110, 215, 306, 330, 510, 515)",8
00420A01W 07997,"(38, 210, 215, 330, 331, 510, 515)",7
00432 01W 10558,"(16, 110, 210, 215, 220, 306, 331, 510)",8
00438 234 01307,"(16, 110, 215, 331, 510)",5
00439B033 00559,"(241,)",1
00441 01W 03499,"(16, 38, 110, 116, 120, 152, 155, 162, 205, 215, 220, 234, 306, 311, 313, 331, 510, 515)",18
00441A01W 03504,"(16, 105, 110, 205, 215, 225, 234, 302, 306, 311, 331, 510, 515)",13
00444B045 05368,"(12, 109, 215, 306, 331)",5
00445A066 01095,"(38, 105, 205, 210, 215, 234, 302, 306, 310, 331)",10
00447 006F23945,"(110, 155, 205, 210, 215, 234, 306, 311, 330, 510)",10
00449 006F25164,"(110, 205, 215, 234, 306, 311, 330, 510, 515)",9
00449A006 24855,"(38, 110, 205, 215, 220, 234, 306, 311, 331, 510)",10
00450 066 02460,"(110, 205, 215, 234, 306, 310, 311, 331, 510)",9
00455A065600030,"(109, 210, 215, 306, 310, 331, 510)",7
00459 102 09123,"(31, 111, 202, 205, 216, 219, 228, 231, 235, 306, 330, 510, 515)",13
00463 365 00103,"(12, 109, 215, 306, 310, 330, 510, 515)",8
00464 000000059,"(16, 110, 155, 205, 215, 234, 306, 311, 331, 510)",10
00474B054 00627,"(215, 306, 330, 510, 515)",5
00475A054 00660,"(215, 306, 330, 510, 515)",5
00476A054 00691,"(215, 306, 310, 330, 510, 515)",6
00478B054 01210,"(215, 225, 306, 310, 331, 510)",6
00479B054 01060,"(215, 225, 306, 310, 331, 510)",6
00482B035 03876,"(210, 215, 306, 310, 331, 510)",6
00491A043 00186,"(16, 110, 216, 219, 225, 228, 235, 306, 510)",9
00492A01W 05789,"(16, 110, 205, 215, 220, 234, 306, 331, 510)",9
00493 066 04571,"(241, 330, 515)",3
00498 292 00064,"(38, 144, 155, 205, 210, 215, 306, 311, 331, 510)",10
005001005100009,"(16, 110, 205, 331)",4
00505 009 06348,"(16, 110, 205, 215, 234, 306, 331, 510)",8
00506 292 01499,"(16, 110, 205, 215, 234, 330, 510, 515)",8
00511 000000000,"(12, 107, 113, 116, 120, 152, 162, 210, 220, 234, 301, 302, 304, 305, 311, 313, 330, 331, 510, 515)",20
00511A932600000,"(12, 110, 116, 155, 205, 215, 234, 301, 302, 310, 311, 331, 510)",13
00511B932600000,"(12, 16, 107, 110, 113, 116, 152, 155, 205, 215, 220, 234, 301, 302, 305, 311, 313, 331, 510, 515)",20
00523 292 00597,"(12, 110, 215, 330, 510, 515)",6
00524 292 00664,"(38, 144, 155, 215, 311, 331, 510)",7
00526A029 03471,"(16, 110, 113, 219, 228, 231, 235, 306, 332, 510, 515)",11
00533B211 02546,"(12, 109, 210, 215, 220, 303, 310, 330, 510, 515)",10
00537B014 00632,"(205, 215, 234, 306, 310, 330, 510, 515)",8
00546A005 25297,"(215, 306, 310, 330, 510, 515)",6
00548A000 00000,"(16, 110, 205, 215, 220, 331, 510)",7
00552A058 01066,"(16, 110, 225, 228, 231, 306, 330, 510, 515)",9
00553A058 01072,"(16, 110, 216, 225, 228, 231, 235, 306, 330, 510, 515)",11
00555B009 08408,"(12, 109, 210, 215, 306, 310, 331)",7
00558A066 01261,"(38, 215, 225, 234, 330, 510, 515)",7
00559B035 05317,"(16, 110, 205, 210, 215, 220, 225, 306, 331, 510)",10
00561A058 01119,"(16, 110, 216, 225, 228, 231, 235, 306, 330, 510, 515)",11
00563A058 01176,"(16, 110, 225, 228, 231, 235, 306, 330, 510, 515)",10
00564 058 01199,"(16, 110, 205, 225, 228, 231, 306, 331, 510)",9
00565 058 01210,"(16, 110, 205, 220, 225, 231, 306, 331, 510)",9
00566A058 01396,"(12, 110, 225, 228, 231, 235, 306, 331, 510)",9
00571A019 11650,"(215, 234, 306, 331, 510)",5
