STRUCNUM,Common_EN_List,Number_of_common_elements
00001 000 00005,"(12, 16, 38, 110, 215, 220, 306, 310, 330, 510, 515)",11
00004 000 00010,"(12, 107, 215, 225, 231, 306, 330, 510, 515)",9
000604000000000,"(241, 331, 510)",3
000622036700261,"(241,)",1
00072A060 00605,"(16, 38, 110, 210, 215)",5
00108B002 11455,"(12, 107, 113, 120, 152, 162, 205, 215, 234, 300, 311, 313, 331, 510, 515)",15
00118A000 00064,"(12, 109, 205, 215, 220, 234, 301, 310, 330, 331, 515)",11
001229190000318,"(12, 107, 210, 215, 220, 302, 306, 310, 311, 313, 330, 331, 510, 515)",14
00123G030 02600,"(16, 105, 205, 215, 234, 306, 310, 331, 510)",9
00123K030 02590,"(12, 16, 105, 107, 110, 205, 215, 220, 234, 303, 306, 310, 311, 313, 315, 330, 331, 510, 515)",19
001336150000487,"(12, 16, 38, 105, 109, 205, 215, 220, 234, 300, 306, 314, 331, 510)",14
00142 414700928,"(16, 110, 210, 215, 220, 306, 331, 510)",8
00144 414700848,"(38, 210, 215, 306, 331, 510)",6
00146A02W 05305,"(38, 205, 215, 234, 306, 331, 510)",7
00159A604 00081,"(12, 109, 215, 225, 306, 330, 515)",7
00163B226 01951,"(12, 109, 205, 215, 225, 234, 306, 310, 331, 521)",10
00185A02W 07071,"(38, 205, 210, 215, 306, 331, 510)",7
00191A02W 04074,"(16, 110, 219, 225, 228, 231, 235, 306, 310, 331, 510)",11
00196A045 05393,"(241,)",1
00200A026 10236,"(15, 38, 104, 110, 155, 205, 210, 215, 234, 300, 306, 314, 330, 331, 510, 515)",16
00231A191 00299,"(12, 38, 109, 116, 144, 155, 215, 220, 306, 310, 331, 510)",12
00240C005 11254,"(38, 219, 225, 306, 310, 330, 510, 515)",8
00241B005 11004,"(38, 215, 306, 310, 330, 510, 515)",7
00241C005 11821,"(38, 215, 306, 310, 330, 510, 515)",7
00242B005 10763,"(240, 515)",2
00290A005 09547,"(38, 215, 306, 330, 510, 515)",6
003080000000000,"(16, 110, 155, 205, 215, 220, 234, 302, 306, 311, 331, 510)",12
00330 105 00689,"(12, 28, 107, 111, 113, 120, 152, 162, 202, 205, 216, 220, 225, 228, 231, 235, 304, 305, 306, 311, 313, 330, 331, 332, 510, 515)",26
00332 301 00291,"(16, 110, 116, 155, 205, 215, 220, 234, 302, 306, 311, 330, 510, 515)",14
00332A271 00009,"(16, 38, 110, 116, 144, 155, 205, 215, 220, 234, 301, 306, 310, 311, 331, 510, 521)",17
00332C002 09985,"(12, 107, 205, 215, 220, 234, 302, 311, 313, 331, 510, 515)",12
00338 02WF03647,"(16, 110, 205, 215, 234, 306, 331, 510)",8
00338A02W 03647,"(16, 110, 205, 215, 234, 306, 311, 330, 331, 510, 515)",11
00340 000 00000,"(38, 210, 215, 220, 306, 331, 510)",7
00351A030 01831,"(38, 215, 226, 234, 306, 331, 510)",7
00357 003 01143,"(12, 16, 107, 110, 113, 141, 152, 155, 205, 210, 215, 234, 300, 306, 310, 311, 312, 313, 331, 510, 515)",21
00360A164 00698,"(38, 202, 210, 215, 216, 220, 226, 228, 231, 235, 306, 330, 510, 515)",14
00361 164 00712,"(16, 110, 210, 215, 306, 330, 510, 515)",8
00365A001F24486,"(38, 215, 306, 330, 331, 510, 515)",7
00366 164 00264,"(16, 38, 110, 215, 306, 330, 331, 510, 515)",9
00367A001 24496,"(241,)",1
