Number_of_elements,Element_Combination,Number_of_bridges,Bridge_numbers
6,"215, 306, 310, 330, 510, 515",278,"00241C005 11821, 00476A054 00691, 00546A005 25297, 00589A005 25188, 00724A010 06319, 00795A005 01916, 00939A290 00765, 01064A008 01240, 010901068100000, 01097A244 00291, 01421A007 00839, 016843000000009, 01794A004 28585, 01809A028 08918, 01946A456 02992, 01947A456 02791, 02069A350 02810, 02219A010 06581, 02224A426 00158, 02229C01W 10997, 02229D01W 11104, 02308A007 13523, 02408A01W 11556, 02701A01W 08476, 02745A360 02371, 02746A360 02442, 02773A005 20924, 03225A240 00043, 03504A007 10371, 03564A048 02429, 03617B440 00723, 03771A272 02839, 03907A019 04476, 03909A019 05074, 03964A015 01044, 039C52427000331, 039C53427000501, 04057A200 03219, 04058A200 03224, 04242A016 02170, 04307A005 22821, 04311A005 23101, 04442A140 03608, 04725B028 05566, 04760A320 03604, 04775A334 00090, 05295 000 00056, 05296 340000020, 06040 054 00173, 06364 000 00010, 07C21A101 00259, 09C05AC32 00414, 10042A661100275, 10050A760100013, 10908 054600000, 11221A130100556, 12524A050900008, 12787 032900061, 14258A161000356, 14425A000 00220, 15457A000 00076, 15458 000 00750, 15497A102000438, 15502A51502 674, 15503 51501 513, 16100 072F00173, 16258 590 00038, 16383 000 00049, 16610 057500001, 16649 062 04628, 16741 127 00355, 16752 334 00655, 16775 111 00088, 16863 000 00036, 16933 000000022, 17192 006C37145, 17346 012 05503, 17347 007 12159, 17384 059400000, 17395 49C147190, 17407 005 12684, 17415 010 04226, 17439 016 00195, 17455 440 00061, 17456 440 00098, 17930 00059C531, 17931 035 00280, 17988 048 03045, 17989 133201, 17994 105000006, 18035 052300050, 18041 101A00650, 18079 070800131, 18181 440 00481, 18232 741 00340, 18375 051010000, 18401 345500423, 18402 345500432, 18406 519000050, 18468 007 13375, 18472 010 06533, 18513 120300087, 18551 041 02818, 18607 350889304, 18609 345500107, 18610 345500129, 18633 C11900051, 18641 C12325A21, 18642 C12325A20, 18648 C11900068, 18728 060700150, 18738 001000010, 18827 069300000, 18828 000000000, 18942 069700145, 18955 000 00030, 18963 720 00012, 18997 000 00000, 18C031067600921, 18C033067601784, 19033 020300520, 19084 000 00000, 19129 020 08824, 19130 020 08938, 19137 001 00100, 19192 000 00000, 19215 264 00085, 19216 000 00220, 19315 112 00547, 19615 915 00603, 19632 872 00035, 19674 888 00000, 19675 888 00000, 19677 000 00000, 19780 557 00271, 19822 293 00099, 19843 450 00800, 19860 004 00000, 19922 C12800244, 19C084 149  005, 19C192014600080, 19C262  48  623, 19C511207A00002, 20071 992 02194, 20073 058100000, 20130 251 01440, 20154 004600538, 20217 073 00161, 20221 030400116, 20229 000 00100, 20238 033 02101, 20256 064300107, 20281 080501139, 20283 071700644, 20284 100001456, 20287 C52800071, 20288 572 00100, 20289 572 00108, 20299 086600254, 20330 657 00362, 20451 000 00000, 20453 C20200431, 20454 C13800094, 20455 C10600461, 20458 000 00460, 20588 515 00300, 20626 367001039, 20722 000 00209, 20723 250000077, 20731 176 00003, 20751 000 00850, 20925 030200142, 20927 001700499, 20966 138 03714, 21006 096600000, 21007 000 00000, 21062 000 00611, 21063 000 00036, 21152 026 07382, 21168 000 00000, 21189 047 00326, 21190 731600016, 21278 076500024, 21332 000 00407, 21439 001F04085, 21471 065800235, 21596 108 00118, 21680 735 00004, 21733 851200099, 22141 000 00000, 22155C001 03295, 22315 053 00075, 22520_073100070, 22562 102 06979, 22614 000 01560, 22758 451 00320, 22864 000 00141, 231000410702557, 23270 174 00791, 23885 000 00000, 23905 000 02510, 23921 000 00105, 23924 072 00115, 24068002100094, 24069 000 00010, 24120 000 00007, 25B113000000000, 25T07A000000000, 29C16 957 00800, 29C187083500084, 29C241 00000000, 35C222125700400, 35C365067600765, 37C0091-1101175, 37C0111-1000101, 37C0121-1000128, 37C0131-1000145, 37C0141-1000232, 37C0423-1001310, 37C0445-1300155, 39C114105800485, 39C117108000057, 39C119109400363, 39C127113000426, 39C161193200483, 39C324344300203, 39C341350800087, 39C343350800183, 39C345350800780, 39C347350800373, 39C349350800922, 39C359361700081, 39C374364000232, 39C376364000350, 39C379365600002, 39C38 213000009, 39C389367000765, 39C422414000056, 39C457439200064, 39C458439200089, 39C506502000358, 39C507502000397, 39C522 18S10W13, 39C557519200060, 39C558521000830, 39C56 533600384, 39C579508201073, 39C580513 01212, 39C644425000719, 47C93A096001390, 49051A000000000, 49B10 000, 49C19A064300000, 53C028000100551, 57C19A772 00040, 57C41 741 00225, 57C53A955 00010, 57C62 871 00038, 57C64 665 02050, 57C78 871 00300, 57C79 000000010, 59C005135001970, 59C052345500032, 59C204116800000, 59C435061000490, 59C446055000291, 61075 000 00008, 65C01 004 00639, 65C30A129 00005, 65C42A181 00144, 65C73 213 00053, 671250039800030, 671299073600198, 671300159200142, 671340025700107, 671353A68500000, 671425010001450, 67TB01000000000"
5,"215, 310, 330, 510, 515",246,"00241B005 11004, 004066514001208, 00803A010 01997, 00943A051001710, 011C80007700028, 013987  17S6W19, 016938300300010, 01798AB52101261, 01C234564 00052, 02199A005 08919, 02432A320 01953, 03906A00649, 039C19260000242, 039C20260000345, 039C21260000394, 039C26270001410, 04504A320 01357, 04988A005 10305, 05322 000, 05C01A000000000, 05C08 220300022, 06025 610100900, 06284 000 00466, 06336 000, 06C34 000 01929, 07C08 151600018, 07C09 151200002, 10463A120100505, 11118 010600026, 11155B041100064, 11223A130200090, 11245 140100006, 11386 887 00175, 11796 033 00060, 11844A041600000, 11C11 009100464, 11C38V008400430, 11C45R003200540, 11C54F018600640, 11C56G018600630, 11C60J005500308, 11C62  05500431, 11C71T008300382, 11C72U008300575, 11C83L007900028, 11C84M007900202, 11C95B004B00041, 11C99 009900002, 12100A42403 205, 133005133000020, 13602B210000020, 13733A114600010, 14772 217400028, 14773 217400009, 15407A014600827, 15454AD31 00011, 16347 003 00142, 16393 666 00014, 16446 113 00320, 16595 204000348, 16605 054900050, 1668400F0600290, 1668600D2700675, 16688 573 00004, 16716 685 00270, 16763 032000100, 16779 113 00317, 16906 000000000, 17033 020100500, 17374 C31625A80, 17377 C30725E17, 17393 315 00238, 17412 150400383, 17413 100200040, 17453 206200002, 17472 201400015, 17476 133400040, 17927 119800004, 17972 869 00029, 17977 008800290, 17C09 B20 00050, 17C560000000008, 18018 000023C71, 18037 201300075, 18039 C13825A17, 18042 053 00272, 18059 00015C020, 18060 00015C034, 18077 118400059, 18138 000000652, 18164 118900151, 18244 000 00000, 18246 112100005, 18288 507005006, 18299 000 00000, 18341 000 00022, 18374 333502150, 18403 273000328, 18404 406600198, 18438 00000 001, 18439 00000 000, 18600 601 00212, 18601 601 00294, 18602 187 00131, 18603 605800220, 18606 406692402, 18608 344092305, 18622 774 00039, 18681 211000108, 18705 044 00200, 18761 303400625, 18815 000 00000, 18821 07A 00230, 18826 026100073, 18842 603 00181, 18843 603 00190, 18850 018700133, 18971 680 00316, 19080 706 00006, 19155 000 00000, 19158 60303 265, 19159 60304 275, 19160 60305 301, 19280 539F02169, 19581 804 01090, 19608 896 00067, 19624 310 00957, 19665 009 00096, 19685 000 00000, 19697 612 01521, 19880 000 00000, 19925 000 00000, 19C0080019  246, 19C241  51  189, 20067 859 00943, 20068 859 00640, 20102 018600610, 20105 875 01239, 20118 028 00185, 20119 028 00185, 20124 000 00234, 20177 867 01761, 20186 000 00010, 20258 C55327533, 20259 112100006, 20279 C30500013, 20280 C30500020, 20286000000000, 20350 512200004, 20368 117100001, 20465 151 00010, 20587 000 00000, 20618 C12300102, 20633 080900017, 20634 004500240, 20636 130000931, 20654 103300025, 20655 103400100, 20656 200400040, 20749 000 00000, 20926 067000358, 20934 C11500081, 21145 520 00150, 21146 520 00109, 21183 969 00025, 21294 413000004, 21397 041F06619, 21460 A41700579, 21490 784 00165, 21595 027 00182, 21613 112800079, 21713 000 00340, 22105 066 00854, 22325 000 00000, 22402 000 00005, 22545 874 00010, 23402 000 00072, 235305235300010, 23C242 0000 620, 244007244000023, 244010244000070, 25A32 C12000052, 25A42 C12500257, 25A49 C11700050, 25E07 C30601307, 25E15 C30800198, 25E25 C31001507, 26T08A000 00000, 26T11 000000000, 299005299000045, 29C238095700012, 29C270979 00477, 29C42 572 00087, 31C22A608 00000, 31C90 887, 33C22 411000200, 33C27 220000034, 33C32 204000373, 33C33 230000272, 35C131099000070, 35C141083000460, 367005367000108, 37C017111F00142, 37C0313-1401130, 37C0343-1401900, 37C0512-1000080, 37C0593-1001312, 398010398000092, 39B065000000000, 39C203211000146, 39C213217700054, 39C227241200145, 39C23A260001260, 39C246263500003, 39C249264500659, 39C251264500837, 39C252266000001, 39C253266500003, 39C262241000370, 39C322344200021, 39C363362500370, 39C396381000175, 39C407408600236, 39C412408200095, 39C437436000015, 39C541511000082, 39C602   19S2W7, 410020410000229, 510025510000407, 51C07A000 00001, 53C011084600062, 584030584000464, 585030585000196, 59C025105200345, 59C217133100012, 59C225109000014, 59C238120800215, 59C270122500064, 59C279127500087, 63C09 514 00109, 671341025700000, 69001 B39500029, C1103B001C02269, C1106 064 03689, C1109 000600019, C1110 004500458"
5,"215, 306, 310, 331, 510",140,"00754B054 01087, 00808A035 06200, 00809A035 06566, 00855A035 06180, 00957A022 09037, 01491A181 00533, 01710A102 03798, 01712A102 03881, 01748A102 05307, 02668A02W 02184, 03184A244 00728, 03941A058 03045, 04288A212 00134, 11233B104 00232, 14683A190001185, 16200 062 04673, 16376 069 00321, 16712 004 15133, 17108 001C30734, 17152 000000005, 17334 066 01643, 17410 062 04889, 17447 018 08220, 17459 021 00250, 17460 021 00317, 17473 069 00609, 17924 000 00000, 17980 000000000, 17993 000000000, 18014 000000000, 18015 243900000, 18083 005 09068, 18093 000000000, 18100 052 06204, 18240 015 02597, 18295 058 00156, 18333 015 02279, 18432 041 07584, 18470 000 00000, 18731 016 04882, 18870 020 09381, 18872 020 09415, 18874 020 09444, 18875 020 09470, 18881 350 01369, 18882 350 01441, 18947 005 16208, 18969 000 00000, 19059 000 00000, 19118 206000003, 19124 022 09536, 19270 028F01293, 19286 000 00000, 19314 112 00529, 19583 000 00000, 19631 000 00000, 19642 000 00000, 19727 272 03494, 19782 019 04675, 19786 201900020, 19839 000 00000, 19859 000 00000, 19903 007 10562, 19904 007 10662, 19907 007 18581, 19912 007 20583, 19914 007 20842, 19917 007 21678, 19921 096700000, 19952 534000310, 19C453 388  628, 20046 005 18862, 20047 005 18877, 20048 005 18936, 20053 000 00033, 20106 863 00035, 20133 000 00014, 20138 000 00000, 20139 033 05131, 20155 018 06795, 20190 102 00016, 20191 000000000, 20211 000 00000, 20219 000 00000, 20345 058 02406, 20355 000 00010, 20356 045 00266, 20400 058 02680, 20417 000 00000, 20586 045 04750, 20620 028 00778, 20630 765 00200, 20657 209700730, 20700 000 00000, 20701 000 00000, 20758 000 00000, 20759 000 00000, 20768 019 12692, 20779 000 00622, 20793 000 00003, 20866 000 00000, 20867 048 04295, 20868 442 00069, 20877 000000000, 21078 000 00000, 21162 231 02095, 21238 163 01391, 21285 000 00258, 21378 021 00426, 21396 422 00457, 21408 000 00000, 21455 092 06787, 21649 275 00021, 21712 000 00000, 21732 000 00317, 21748C0348 0000, 21870 075 00008, 21934 000 00000, 223170019001415, 22427 000 00000, 22441 000 00000, 22549 036700319, 22551 000 00046, 22629 000 00000, 23307 000 00042, 23315 458A00000, 23880 118 00388, 23950 871 00574, 25B138000000000, 25T09 000 00010, 39C182147500000, 39C399427000135, 43B002000000000, 470423, 47C208000 00001, 49B04 000, 49B05 000, 671420143008700, 67T001000000000, BB004 909100217"
1,241,119,"000622036700261, 00196A045 05393, 00367A001 24496, 00392A063 00109, 00398A058 00690, 00439B033 00559, 01536 015 01832, 01683 045 00411, 01717A007 19671, 01719A007 19932, 01935A063 00218, 02565 002 02433, 02667 02W 02315, 02682 002 03360, 02808 012 02115, 03456 005 00399, 03469A001 24587, 03660 063 00803, 03661 063 00817, 03774A272 03304, 03966 015 01923, 03988A018 02071, 04746 052 07744, 05023A01W 03818, 06784 001 08234, 06785 001 08308, 06912 271 01186, 06931A001 23501, 06998 342 01591, 07053 048 04502, 07054A048 04512, 07362 271 00606, 07718 001 13228, 07845 007 25177, 07846 007 25218, 07909 722 00033, 07936A006 37048, 07940 001F24519, 07T17 000 00000, 08364 006 35423, 08378 001 04871, 08505 006 25493, 08628 033 05516, 08665 008 02207, 08689H001 19377, 08963 006 32299, 09135 026 01905, 09883 064 00969, 0M014 019 12578, 0M022 039 02838, 0M023 039 03321, 0M038 026 07982, 0M039 026 08394, 0M080 144 00511, 0M116 301 00705, 0M220 001 03428, 0M221 001 03524, 0M407 001 20205, 0M594 062 04730, 121005121000002, 16001 01W 08290, 16002 01W 08294, 17217 036 00883, 18080 080 00171, 18386 018 00229, 18615 102 08882, 18618 102 08966, 18714 000000000, 18790 00000 001, 18814 000 00000, 18921 123200075, 18957 367 00003, 18958 367 00049, 18973 000 00000, 19057 000 00000, 19058 000 00000, 19579 000 00000, 19854 122 00053, 20023 015 11111, 20109 001 25284, 20616 000 00250, 20708 000 00667, 20804 110 00125, 20805 057 00650, 20876 033 01569, 21064 270 00000, 21571 306900309, 21641 022I00153, 21642 022I00163, 21644022BD00176, 21978 026 06648, 21981 026 06699, 21983 026 06717, 21984 026 06748, 22110 020 02536, 22244 009 10488, 22320 022I00401, 22322 022I00515, 22448 048 00623, 22566 006 27051, 23577 000 00038, 23743 019 15235, 23898 341 04512, 23919 053 06907, 24012 000 00007, 24053 001400304, 24211 000 00152, 24212 160 01586, 24322 000 00025, 25B151000 00000, 29C14 523 00375, 35C166141900185, 41C40 42404 565, 47C207002100288, 53C025000300693, 59C2431258 0461, 59C359097300435, 671330088900100, 671417061200000"
2,"240, 515",73,"00242B005 10763, 003C32000000195, 00725A010 06829, 00730A229 03520, 00877 009 07185, 01457A041 08352, 01810A028 08506, 02399A01W 11222, 03004 201 00365, 03079A009 01958, 03240A241 01490, 03996A062 00316, 03C155000000004, 04478A052 04068, 04717A028 04446, 04723 028 05020, 05272A171 03010, 06999 047 05445, 08176A001 19707, 09865 01E 01179, 0P141 002 11257, 0P261 015 04634, 0P447 071 00298, 0P461 029 00497, 0P489 048 04317, 12406A001100153, 13567 005 04330, 13568 005 04342, 13569 005 04368, 13C29 226 00008, 16075 211 00113, 17336 456 01567, 17960 069 00563, 17961 069 00541, 17962 069 00562, 17991 000 00841, 18057 033 02791, 18435 000000319, 18654 107A00014, 18680 000 00000, 18716 380 00137, 18717 380 00075, 19083 221 00860, 19152 292 02020, 19580 339 00140, 19637 339 00050, 19C526000101934, 20028 000 00000, 20029 000 00000, 20031 000 00000, 20426 004 07817, 20781 000 00000, 20782 000 00000, 21206 006 27089, 21217 20A 00050, 21543 003500200, 21558 424 00132, 21928 026 06159, 21972 033 01853, 22388 046 00058, 22390 000 00148, 22449 048 01100, 23172 000 00000, 23827 C12300119, 23887 000 00000, 242040118400011, 24321 045400947, 24371 000 00000, 53C086750900008, 53C096000000000, 53C128960600212, 53C129096600318, 53C130096600411"
4,"215, 310, 330, 515",72,"016518050202895, 02171A004 00033, 06619 000 00252, 07507A041F05749, 09333 006C33571, 09932 300400006, 10789A029 00250, 10800A007700107, 10801A053 00086, 11630 000, 11633 042700000, 11771 000, 11C40A001700530, 11C63A008100078, 11C760021900050, 15694A063100092, 15746A068700815, 15747A068700845, 15760A081600155, 16309 020 01300, 16395 000 00012, 16691 C74700014, 16757 102700122, 16759 001 00025, 16829 096100216, 16830 055 00300, 16970 C52900169, 17959 021200008, 18022 1121 0115, 18443 077700477, 18477 657 00441, 18739 065900100, 18741 065900090, 18871 020 09392, 18938 097900009, 18950 005200010, 19885 049 00653, 19926 000 00000, 19C319004900300, 19C502  78  175, 19C503  78  207, 20174 145 00006, 20175 066 00334, 20497 067800062, 20590 501 02142, 20591 501 02692, 20609 000 00000, 20610 000 00000, 20658 410500135, 20727 000 00000, 20794 000 00000, 20971 000 00000, 20989 000 00000, 21425 616 00470, 21693 548 00400, 21C01 452 00005, 21C03 703 00450, 29C214889 00179, 29C216A90400006, 29C262000 00052, 29C274756 00075, 29C82  00000000, 37C0473-1600010, 39C238247300120, 39C378364700018, 39C37A433500122, 39C508502000520, 39C568532600250, 41B005 5513  03, 45C1371053 0215, 69C04 538000930, 83062 083000620"
8,"215, 226, 234, 306, 310, 330, 510, 515",56,"00949B009F22332, 00953A244 00305, 01058A244 01527, 01059A244 01508, 01339A401900025, 01371A046 01791, 01685A045 00576, 01948A456 02577, 02520A062 05091, 02522A062 04993, 039C51427000185, 04599A193 00618, 09637 029 01954, 09793 161 00234, 09989 126 01438, 11170A070100780, 13424A314500032, 13796A407100002, 13818A401200001, 14406 352 00212, 15444A108900067, 16129 029 01943, 16130 029 01972, 16301 000 00014, 16341 110000040, 16456 115 00300, 16497 E06 00320, 16837 103900001, 16838 103900029, 18748 00000 001, 19C323019500204, 35C142083000480, 35C336080300050, 37C0403-1500556, 39C101101000068, 39C102103700018, 39C103103700042, 39C115107500001, 39C162193500003, 39C309314000031, 39C311314000081, 39C338349000093, 39C348350800219, 39C358360900197, 39C381365600023, 39C46 361500051, 39C561523000042, 39C562523000134, 40040 000 00185, 40041 000 00135, 40042 000, 40046 000, 53C002000900936, 671249062400150, 6713510A1000050, 67H003000000000"
7,"219, 225, 306, 310, 330, 510, 515",56,"04855A342 00944, 11968 071900231, 12622 042500207, 12704 066100188, 12713 033400004, 12982 061100430, 18171 000 00070, 18172 000 00080, 19687 360100041, 19844 767 00194, 20316 102 08194, 22076 000 00770, 22626 000 00000, 22749 000 00000, 22756 883 00081, 37C0013-1200100, 37C0102-1600195, 37C015210A00321, 37C0162-1900292, 37C0212-1900172, 37C0242-1600178, 37C0292-1600500, 39C105103900034, 39C107105000061, 39C109105800716, 39C113105800649, 39C116107800015, 39C125111800334, 39C128122000017, 39C133127000040, 39C135127800130, 39C137127800091, 39C145163300034, 39C163194800159, 39C167195600068, 39C168195600226, 39C175197700015, 39C179198400063, 39C205212700024, 39C208214600109, 39C337348000143, 39C339350500103, 39C351351500045, 39C354352200001, 39C355355000041, 39C356360300111, 39C388367000267, 39C391367000845, 39C397381000301, 39C417409600071, 39C505502000331, 39C517503000037, 53C072670400053, 53C073670400116, 59C707080000177, 671287006400150"
8,"219, 225, 231, 306, 310, 330, 510, 515",54,"01699A200 01898, 01700A200 01928, 039C50427000145, 04068A514001000, 06751A440 02223, 11969 071900293, 12285A001300851, 12347 021800263, 12504 050400117, 12556A042000114, 12557 042000071, 12652 070700131, 13188 001300188, 15526A080500080, 19585 706 00079, 39C007145500259, 39C008145500315, 39C112106000008, 39C12A213000077, 39C132127000009, 39C134127800011, 39C146164500019, 39C147165000009, 39C157188100280, 39C164194800250, 39C169195800023, 39C171196700012, 39C201210600017, 39C204212700001, 39C207214400032, 39C209215600002, 39C308313500050, 39C30A423400494, 39C31A423400501, 39C323344300129, 39C326344300265, 39C328345501690, 39C335345900147, 39C352351500155, 39C373364000002, 39C39 213000095, 39C40 213000180, 39C406408600015, 39C416409600017, 39C427426400026, 39C431427300068, 39C534507001792, 39C535507800043, 39C572533000032, 39C614610400007, 39C621612400036, 39C639628000137, 40038 000 00000, 40039 000 00011"
4,"215, 310, 331, 510",53,"00714A009 04648, 06219 000, 06547 028 00472, 09581 722 00025, 13692A112800396, 16098 072 00173, 16853 372 00193, 18033 3210 0023, 18081 00000 012, 18095 039 00163, 18290 000000000, 18461 410 00031, 18463 210 01248, 18789 019 11960, 18835 000000004, 19034 000 00203, 19153 151 00966, 19254 320 03619, 19255 320 03629, 19606 808 00338, 19611 000 00000, 19612 000 00000, 19678 000 00000, 19787 000 00000, 19920 085700422, 199390000000010, 20090 000 00030, 20156 018 07340, 20182 000 00110, 20183 540 00140, 20188 000 00000, 20407 000 00005, 20457 000 00000, 20530 000 00600, 20564 000 00000, 20629 753 00143, 20652 114301392, 20895 000 00000, 20896 000 00000, 21001 000 00000, 21347 000 00023, 21394 540 00190, 21470 130 00057, 21521 000 00000, 21562 303400625, 21656069AZ01292, 21681 117200930, 21735 140 03721, 23952A067600051, 23C203020 02230, 33C30 201000267, 383005383000029, 51C38 000000000"
