Number_of_elements,Element_Combination,Number_of_bridges,Bridge_numbers
7,"38, 215, 306, 310, 330, 510, 515",509,"00241B005 11004, 00241C005 11821, 00476A054 00691, 00546A005 25297, 00589A005 25188, 00724A010 06319, 00795A005 01916, 00803A010 01997, 00939A290 00765, 01064A008 01240, 010901068100000, 01097A244 00291, 011C80007700028, 013987  17S6W19, 01421A007 00839, 016843000000009, 016938300300010, 01794A004 28585, 01798AB52101261, 01809A028 08918, 01946A456 02992, 01947A456 02791, 01C234564 00052, 02069A350 02810, 02199A005 08919, 02219A010 06581, 02224A426 00158, 02229C01W 10997, 02229D01W 11104, 02308A007 13523, 02432A320 01953, 02745A360 02371, 02746A360 02442, 02773A005 20924, 03504A007 10371, 03564A048 02429, 03617B440 00723, 03771A272 02839, 03906A00649, 03907A019 04476, 03909A019 05074, 03964A015 01044, 039C19260000242, 039C20260000345, 039C21260000394, 039C26270001410, 039C52427000331, 039C53427000501, 03C11A000000000, 03C13A000 00000, 03C14A000 00000, 04057A200 03219, 04058A200 03224, 04242A016 02170, 04307A005 22821, 04311A005 23101, 04504A320 01357, 04725B028 05566, 04760A320 03604, 04775A334 00090, 04988A005 10305, 05295 000 00056, 05296 340000020, 05322 000, 05C01A000000000, 05C08 220300022, 06025 610100900, 06040 054 00173, 06284 000 00466, 06336 000, 06364 000 00010, 07C08 151600018, 07C09 151200002, 07C21A101 00259, 07T12A000000000, 09C05AC32 00414, 10042A661100275, 10050A760100013, 10463A120100505, 10908 054600000, 11118 010600026, 11155B041100064, 11221A130100556, 11223A130200090, 11245 140100006, 11720 000, 11729 000, 11796 033 00060, 11844A041600000, 11C11 009100464, 11C38V008400430, 11C45R003200540, 11C54F018600640, 11C56G018600630, 11C60J005500308, 11C71T008300382, 11C72U008300575, 11C83L007900028, 11C84M007900202, 11C95B004B00041, 11C99 009900002, 12100A42403 205, 12524A050900008, 12787 032900061, 133005133000020, 13733A114600010, 14258A161000356, 14425A000 00220, 14772 217400028, 14773 217400009, 15407A014600827, 15454AD31 00011, 15457A000 00076, 15458 000 00750, 15497A102000438, 15502A51502 674, 15503 51501 513, 16258 590 00038, 16383 000 00049, 16395 000 00012, 16446 113 00320, 16595 204000348, 16605 054900050, 16610 057500001, 16649 062 04628, 1668400F0600290, 1668600D2700675, 16688 573 00004, 16741 127 00355, 16752 334 00655, 16763 032000100, 16775 111 00088, 16779 113 00317, 16798 C52100023, 16863 000 00036, 16906 000000000, 16933 000000022, 17033 020100500, 17192 006C37145, 17324 004 13533, 17346 012 05503, 17347 007 12159, 17374 C31625A80, 17377 C30725E17, 17384 059400000, 17393 315 00238, 17395 49C147190, 17407 005 12684, 17412 150400383, 17413 100200040, 17415 010 04226, 17439 016 00195, 17453 206200002, 17455 440 00061, 17456 440 00098, 17472 201400015, 17476 133400040, 17926 309200026, 17927 119800004, 17931 035 00280, 17977 008800290, 17988 048 03045, 17989 133201, 17994 105000006, 17C52 252 00060, 17C560000000008, 18018 000023C71, 18035 052300050, 18037 201300075, 18039 C13825A17, 18041 101A00650, 18042 053 00272, 18059 00015C020, 18060 00015C034, 18072 852000015, 18077 118400059, 18079 070800131, 18138 000000652, 18164 118900151, 18181 440 00481, 18232 741 00340, 18244 000 00000, 18288 507005006, 18299 000 00000, 18341 000 00022, 18374 333502150, 18375 051010000, 18401 345500423, 18402 345500432, 18403 273000328, 18404 406600198, 18406 519000050, 18438 00000 001, 18439 00000 000, 18468 007 13375, 18472 010 06533, 18475 20A 00016, 18513 120300087, 18551 041 02818, 18599 098100090, 18600 601 00212, 18601 601 00294, 18602 187 00131, 18603 605800220, 18606 406692402, 18607 350889304, 18608 344092305, 18609 345500107, 18610 345500129, 18622 774 00039, 18633 C11900051, 18641 C12325A21, 18642 C12325A20, 18648 C11900068, 186661134900380, 18681 211000108, 18705 044 00200, 18728 060700150, 18738 001000010, 18739 065900100, 18741 065900090, 18761 303400625, 18815 000 00000, 18821 07A 00230, 18826 026100073, 18827 069300000, 18828 000000000, 18842 603 00181, 18843 603 00190, 18850 018700133, 18942 069700145, 18955 000 00030, 18963 720 00012, 18970 119700043, 18971 680 00316, 18C031067600921, 18C033067601784, 19033 020300520, 19080 706 00006, 19084 000 00000, 19129 020 08824, 19130 020 08938, 19137 001 00100, 19158 60303 265, 19159 60304 275, 19160 60305 301, 19192 000 00000, 19215 264 00085, 19216 000 00220, 19280 539F02169, 19315 112 00547, 19581 804 01090, 19608 896 00067, 19615 915 00603, 19624 310 00957, 19632 872 00035, 19665 009 00096, 19674 888 00000, 19675 888 00000, 19677 000 00000, 19685 000 00000, 19697 612 01521, 19780 557 00271, 19803 111900025, 19822 293 00099, 19843 450 00800, 19880 000 00000, 19922 C12800244, 19925 000 00000, 19C0080019  246, 19C084 149  005, 19C192014600080, 19C241  51  189, 19C262  48  623, 19C309013000024, 20071 992 02194, 20073 058100000, 20075 679 00211, 20105 875 01239, 20118 028 00185, 20119 028 00185, 20130 251 01440, 20154 004600538, 20177 867 01761, 20186 000 00010, 20217 073 00161, 20221 030400116, 20229 000 00100, 20238 033 02101, 20256 064300107, 20258 C55327533, 20259 112100006, 20279 C30500013, 20280 C30500020, 20281 080501139, 20283 071700644, 20284 100001456, 20286000000000, 20287 C52800071, 20288 572 00100, 20289 572 00108, 20299 086600254, 20330 657 00362, 20350 512200004, 20368 117100001, 20442 022 09332, 20451 000 00000, 20453 C20200431, 20454 C13800094, 20455 C10600461, 20458 000 00460, 20465 151 00010, 20587 000 00000, 20588 515 00300, 20618 C12300102, 20626 367001039, 20633 080900017, 20634 004500240, 20636 130000931, 20654 103300025, 20655 103400100, 20656 200400040, 20658 410500135, 20722 000 00209, 20723 250000077, 20731 176 00003, 20749 000 00000, 20751 000 00850, 20794 000 00000, 20925 030200142, 20926 067000358, 20927 001700499, 20934 C11500081, 20966 138 03714, 21006 096600000, 21007 000 00000, 21062 000 00611, 21063 000 00036, 21145 520 00150, 21146 520 00109, 21151 000 00000, 21168 000 00000, 21189 047 00326, 21190 731600016, 21278 076500024, 21294 413000004, 21332 000 00407, 21439 001F04085, 21460 A41700579, 21471 065800235, 21490 784 00165, 21585 365500004, 21595 027 00182, 21596 108 00118, 21613 112800079, 21680 735 00004, 21713 000 00340, 21733 851200099, 21913 369 00092, 22070 020B00921, 22105 066 00854, 22141 000 00000, 22155C001 03295, 22315 053 00075, 22325 000 00000, 22357 555 00007, 22437 118 00770, 22520_073100070, 22545 874 00010, 22562 102 06979, 22565 000 00000, 22614 000 01560, 22654 009 08292, 22663 000 00018, 22664 000 00015, 22758 451 00320, 22864 000 00141, 231000410702557, 23270 174 00791, 23402 000 00072, 23839 000 00250, 23859 104400117, 23883A070400020, 23885 000 00000, 23903 065100065, 23905 000 02510, 23921 000 00105, 23924 072 00115, 23990C120800037, 23C242 0000 620, 24010 211 00160, 24056 000 00380, 24058 000 00000, 24068002100094, 24069 000 00010, 24120 000 00007, 24217 000 00880, 24285 C42 00350, 24286 381400099, 24319 073000740, 244007244000023, 244010244000070, 25A32 C12000052, 25A42 C12500257, 25A49 C11700050, 25B113000000000, 25E07 C30601307, 25E25 C31001507, 25T07A000000000, 26T08A000 00000, 26T11 000000000, 29C16 957 00800, 29C187083500084, 29C238095700012, 29C241 00000000, 29C269747 00165, 29C270979 00477, 31C22A608 00000, 31C90 887, 33C22 411000200, 33C27 220000034, 33C32 204000373, 33C33 230000272, 35C131099000070, 35C141083000460, 35C222125700400, 35C365067600765, 37C0091-1101175, 37C0111-1000101, 37C0131-1000145, 37C0141-1000232, 37C0423-1001310, 37C0445-1300155, 398010398000092, 39B065000000000, 39C117108000057, 39C127113000426, 39C161193200483, 39C203211000146, 39C249264500659, 39C251264500837, 39C252266000001, 39C253266500003, 39C262241000370, 39C304311200102, 39C313 16S4W23B, 39C322344200021, 39C324344300203, 39C345350800780, 39C347350800373, 39C349350800922, 39C359361700081, 39C363362500370, 39C374364000232, 39C376364000350, 39C379365600002, 39C38 213000009, 39C389367000765, 39C396381000175, 39C407408600236, 39C412408200095, 39C437436000015, 39C457439200064, 39C458439200089, 39C506502000358, 39C507502000397, 39C522 18S10W13, 39C56 533600384, 39C579508201073, 39C580513 01212, 39C602   19S2W7, 39C644425000719, 410020410000229, 47C93A096001390, 49051A000000000, 49C19A064300000, 53C011084600062, 53C028000100551, 57C41 741 00225, 57C64 665 02050, 57C78 871 00300, 57C79 000000010, 584030584000464, 585030585000196, 59C015105000909, 59C052345500032, 59C204116800000, 59C217133100012, 59C225109000014, 59C238120800215, 59C270122500064, 59C279127500087, 59C435061000490, 59C446055000291, 61075 000 00008, 65C01 004 00639, 65C30A129 00005, 65C42A181 00144, 65C73 213 00053, 671250039800030, 671299073600198, 671300159200142, 671340025700107, 671341025700000, 671353A68500000, 671425010001450, 67TB01000000000, 69001 B39500029, C1103B001C02269"
6,"38, 215, 306, 310, 331, 510",178,"00714A009 04648, 00754B054 01087, 00808A035 06200, 00809A035 06566, 00855A035 06180, 01491A181 00533, 01710A102 03798, 01712A102 03881, 01748A102 05307, 02668A02W 02184, 03184A244 00728, 03941A058 03045, 04288A212 00134, 06219 000, 06547 028 00472, 07T22A000 00122, 11233B104 00232, 13692A112800396, 14683A190001185, 16200 062 04673, 16561 004 12360, 16712 004 15133, 16853 372 00193, 17108 001C30734, 17334 066 01643, 17410 062 04889, 17447 018 08220, 17459 021 00250, 17460 021 00317, 17473 069 00609, 17924 000 00000, 17980 000000000, 17986 039 02275, 17993 000000000, 18033 3210 0023, 18081 00000 012, 18083 005 09068, 18093 000000000, 18095 039 00163, 18100 052 06204, 18240 015 02597, 18290 000000000, 18295 058 00156, 18333 015 02279, 18432 041 07584, 18461 410 00031, 18470 000 00000, 18731 016 04882, 18789 019 11960, 18870 020 09381, 18872 020 09415, 18874 020 09444, 18875 020 09470, 18881 350 01369, 18882 350 01441, 18947 005 16208, 19059 000 00000, 19118 206000003, 19124 022 09536, 19153 151 00966, 19254 320 03619, 19255 320 03629, 19270 028F01293, 19286 000 00000, 19314 112 00529, 19583 000 00000, 19606 808 00338, 19612 000 00000, 19631 000 00000, 19642 000 00000, 19678 000 00000, 19727 272 03494, 19782 019 04675, 19786 201900020, 19787 000 00000, 19839 000 00000, 19859 000 00000, 19903 007 10562, 19904 007 10662, 19907 007 18581, 19912 007 20583, 19914 007 20842, 19917 007 21678, 19920 085700422, 19921 096700000, 19929 000 00012, 199390000000010, 19952 534000310, 19960 004 10544, 19C453 388  628, 20046 005 18862, 20047 005 18877, 20048 005 18936, 20053 000 00033, 20090 000 00030, 20106 863 00035, 20138 000 00000, 20139 033 05131, 20182 000 00110, 20183 540 00140, 20188 000 00000, 20190 102 00016, 20191 000000000, 20211 000 00000, 20219 000 00000, 20345 058 02406, 20355 000 00010, 20400 058 02680, 20417 000 00000, 20457 000 00000, 20530 000 00600, 20564 000 00000, 20586 045 04750, 20620 028 00778, 20630 765 00200, 20657 209700730, 20700 000 00000, 20701 000 00000, 20758 000 00000, 20759 000 00000, 20768 019 12692, 20779 000 00622, 20793 000 00003, 20866 000 00000, 20868 442 00069, 20877 000000000, 21162 231 02095, 21238 163 01391, 21285 000 00258, 21339 031000071, 21347 000 00023, 21378 021 00426, 21394 540 00190, 21408 000 00000, 21455 092 06787, 21470 130 00057, 21521 000 00000, 21649 275 00021, 21681 117200930, 21712 000 00000, 21732 000 00317, 21735 140 03721, 21934 000 00000, 22037 108100025, 22162 000 00000, 22310 000 00000, 223170019001415, 22419 034 00162, 22427 000 00000, 22441 000 00000, 22549 036700319, 22551 000 00046, 23307 000 00042, 23315 458A00000, 23854 000 00000, 23880 118 00388, 23888 857 00014, 23950 871 00574, 23952A067600051, 23961 102 08265, 23C203020 02230, 24045C85700180, 24046 000 00007, 24145 000 01740, 24317 007 00030, 24320 073000082, 24373 000 00002, 25B138000000000, 25T09 000 00010, 383005383000029, 39C182147500000, 39C399427000135, 470423, 47C208000 00001, 49B04 000, 49B05 000, 671420143008700, BB004 909100217"
8,"38, 219, 225, 306, 310, 330, 510, 515",122,"00240C005 11254, 02784B066 03859, 02842A012 05651, 02891A340 02358, 02933AB28 00315, 03595B442 02234, 03603A048 06254, 04393A450 00526, 04855A342 00944, 069C13067002350, 12417 033000135, 12500 022200334, 12622 042500207, 12704 066100188, 12713 033400004, 12982 061100430, 15500A014 00159, 15701A061201716, 18043 134904, 18171 000 00070, 18172 000 00080, 19687 360100041, 19844 767 00194, 19987 118600060, 20316 102 08194, 20921 000 00020, 21527 507 00137, 21744 777 00010, 22062 C11400291, 22076 000 00770, 22726_903_00000, 22749 000 00000, 22756 883 00081, 23B010000000000, 320010320000089, 358205358200010, 37C0013-1200100, 37C0102-1600195, 37C015210A00321, 37C0162-1900292, 37C0212-1900172, 37C0242-1600178, 37C0292-1600500, 37C060000000040, 39C105103900034, 39C107105000061, 39C109105800716, 39C113105800649, 39C116107800015, 39C122104100001, 39C125111800334, 39C128122000017, 39C133127000040, 39C135127800130, 39C137127800091, 39C145163300034, 39C152186600176, 39C15A250000536, 39C163194800159, 39C167195600068, 39C168195600226, 39C175197700015, 39C179198400063, 39C205212700024, 39C208214600109, 39C216219200312, 39C217219400013, 39C218219800016, 39C221221200101, 39C226241000405, 39C256274500021, 39C257274500109, 39C28A407800693, 39C306313000150, 39C333345800130, 39C334345800143, 39C337348000143, 39C339350500103, 39C351351500045, 39C354352200001, 39C355355000041, 39C356360300111, 39C361362500090, 39C364362500649, 39C365363100043, 39C367363200005, 39C368363500103, 39C369363500169, 39C371363500260, 39C388367000267, 39C391367000845, 39C397381000301, 39C411408200022, 39C413408200473, 39C417409600071, 39C41A213000673, 39C434434000026, 39C505502000331, 39C517503000037, 39C525504600012, 39C559522000025, 39C601601400027, 39C604602800020, 39C606605000020, 39C608607500178, 39C611607500401, 39C612607000012, 39C613607800020, 39C616610500020, 39C617610600015, 39C641628000433, 39C642628200030, 53C072670400053, 53C073670400116, 57C32 749 00140, 59C304132500127, 59C305132500088, 59C306132500068, 59C707080000177, 671287006400150, 671393050200160, 72229A072200297"
1,241,107,"000622036700261, 00196A045 05393, 00367A001 24496, 00392A063 00109, 00398A058 00690, 00439B033 00559, 01536 015 01832, 01683 045 00411, 01717A007 19671, 01719A007 19932, 02565 002 02433, 02667 02W 02315, 02682 002 03360, 02808 012 02115, 03456 005 00399, 03469A001 24587, 03660 063 00803, 03661 063 00817, 03774A272 03304, 03966 015 01923, 03988A018 02071, 04746 052 07744, 05023A01W 03818, 06784 001 08234, 06785 001 08308, 06912 271 01186, 06931A001 23501, 06998 342 01591, 07053 048 04502, 07054A048 04512, 07362 271 00606, 07718 001 13228, 07845 007 25177, 07846 007 25218, 07909 722 00033, 07936A006 37048, 07940 001F24519, 08364 006 35423, 08378 001 04871, 08505 006 25493, 08628 033 05516, 08665 008 02207, 08689H001 19377, 08963 006 32299, 09135 026 01905, 09883 064 00969, 0M014 019 12578, 0M022 039 02838, 0M038 026 07982, 0M039 026 08394, 0M080 144 00511, 0M220 001 03428, 0M221 001 03524, 0M407 001 20205, 0M594 062 04730, 16001 01W 08290, 16002 01W 08294, 17217 036 00883, 18080 080 00171, 18386 018 00229, 18615 102 08882, 18618 102 08966, 18714 000000000, 18790 00000 001, 18814 000 00000, 18921 123200075, 18957 367 00003, 18958 367 00049, 18973 000 00000, 19057 000 00000, 19058 000 00000, 19854 122 00053, 20023 015 11111, 20109 001 25284, 20616 000 00250, 20708 000 00667, 20804 110 00125, 20805 057 00650, 20876 033 01569, 21064 270 00000, 21571 306900309, 21641 022I00153, 21642 022I00163, 21644022BD00176, 21978 026 06648, 21981 026 06699, 21983 026 06717, 21984 026 06748, 22244 009 10488, 22320 022I00401, 22322 022I00515, 22448 048 00623, 22566 006 27051, 23743 019 15235, 23898 341 04512, 23919 053 06907, 24012 000 00007, 24053 001400304, 24212 160 01586, 24322 000 00025, 25B151000 00000, 29C14 523 00375, 41C40 42404 565, 47C207002100288, 53C025000300693, 59C359097300435, 671330088900100"
6,"38, 215, 306, 330, 510, 515",84,"00290A005 09547, 00474B054 00627, 00475A054 00660, 00765A019 12120, 01043A005 15054, 01046A005 14430, 014715622000013, 02457A390 00907, 02493A073 01060, 02897A340 02892, 03379 370 00021, 03495A005 11625, 039C22260000424, 039C48612000451, 04019A229 01224, 04289A212 00264, 043B13000000010, 04780A334 00355, 06096 000 00050, 06283 000 00333, 06340 009 00272, 06598A413 00570, 06618 000 00066, 06688A062 00331, 08372 584 00000, 09469 A14 00042, 09875 009 29545, 12781 003400447, 13C06AB37600100, 14191A251 00408, 14506A000, 14507A000, 14575A000, 16163 000 00332, 16182 272 03594, 16218 515 00181, 16720 005 11667, 17437 004C14327, 17C10 B29 00154, 17C18 C23 00300, 17C29 D30 00025, 17C35 E19 00100, 18165 103 00632, 18C005053101150, 18C15A121101380, 19672 000 00000, 19C277  55  320, 20185 000 00000, 20637 363500075, 21C15 663 00250, 22338 882 00050, 22384 C74 00100, 22471 000 00067, 23830 000 00000, 23B004000000000, 24074 241 00090, 25B023 00 00000, 25B024 00 00000, 31B94 000000000, 33002 406 00261, 351205351200010, 35B001    00000, 35C180098100235, 37C0023-1200330, 37C0033-1200371, 37C0043-1200380, 37C0053-1200447, 37C0063-1200497, 39C232246000145, 39C233246000259, 39C438436600679, 40013 000, 40030 000 00009, 40031 000 00011, 43B120000000000, 43C17 000, 45C1361057 0390, 53C019000700431, 53C125A96300678, 53C126A96300702, 53C127096300726, 59C053345500089, BB001 000000000, BB002 000000000"
2,"240, 515",75,"00242B005 10763, 003C32000000195, 00725A010 06829, 00730A229 03520, 00877 009 07185, 01457A041 08352, 01810A028 08506, 02399A01W 11222, 03004 201 00365, 03079A009 01958, 03240A241 01490, 03996A062 00316, 03C155000000004, 04478A052 04068, 04717A028 04446, 04723 028 05020, 05272A171 03010, 06999 047 05445, 08176A001 19707, 09865 01E 01179, 0P141 002 11257, 0P261 015 04634, 0P447 071 00298, 0P461 029 00497, 0P489 048 04317, 12406A001100153, 13567 005 04330, 13568 005 04342, 13569 005 04368, 16075 211 00113, 17027 033 03231, 17028 033 03254, 17336 456 01567, 17960 069 00563, 17961 069 00541, 17962 069 00562, 17991 000 00841, 18435 000000319, 18654 107A00014, 18680 000 00000, 18716 380 00137, 18717 380 00075, 19083 221 00860, 19152 292 02020, 19580 339 00140, 19637 339 00050, 19C526000101934, 20029 000 00000, 20031 000 00000, 20426 004 07817, 20781 000 00000, 20782 000 00000, 21206 006 27089, 21543 003500200, 21558 424 00132, 21928 026 06159, 21972 033 01853, 22316 007 00165, 22388 046 00058, 22390 000 00148, 22449 048 01100, 22507 000 01450, 22550 000 00081, 23172 000 00000, 23237 000 00000, 23827 C12300119, 23887 000 00000, 242040118400011, 24321 045400947, 24371 000 00000, 53C086750900008, 53C096000000000, 53C128960600212, 53C129096600318, 53C130096600411"
9,"38, 215, 226, 234, 306, 310, 330, 510, 515",63,"007C15101000024, 00949B009F22332, 00953A244 00305, 01058A244 01527, 01059A244 01508, 01339A401900025, 01371A046 01791, 01552A019 05296, 01685A045 00576, 01948A456 02577, 02520A062 05091, 02522A062 04993, 039C51427000185, 04599A193 00618, 05478A427 00732, 09637 029 01954, 09793 161 00234, 09989 126 01438, 11170A070100780, 13424A314500032, 13796A407100002, 13818A401200001, 14406 352 00212, 15444A108900067, 16129 029 01943, 16130 029 01972, 16301 000 00014, 16341 110000040, 16456 115 00300, 16497 E06 00320, 16837 103900001, 16838 103900029, 18748 00000 001, 18C19A087600226, 19C323019500204, 35C142083000480, 35C336080300050, 37C0403-1500556, 39C101101000068, 39C103103700042, 39C115107500001, 39C162193500003, 39C247264500004, 39C305312000084, 39C309314000031, 39C311314000081, 39C338349000093, 39C348350800219, 39C358360900197, 39C381365600023, 39C398383600093, 39C401401800128, 39C423423800313, 39C44A503600464, 39C46 361500051, 39C561523000042, 39C562523000134, 40041 000 00135, 40042 000, 40046 000, 53C002000900936, 671249062400150, 6713510A1000050"
8,"16, 110, 205, 215, 234, 306, 331, 510",60,"00338 02WF03647, 00505 009 06348, 00933 027 03860, 01396 032 02185, 01503 028, 01506 028, 01578A01W 01383, 02382A009 30956, 03780 273 00363, 03781 273 00470, 05285A018 00196, 06505 019 00312, 06543 015 00701, 06567 000 00025, 06837 01W 12599, 06886 004 24754, 07271 200 02549, 07293 066 03286, 07644A001 14821, 07830A001 17441, 07954 001C10678, 07956 006 37308, 08076 162 00888, 08114 001C24354, 08132 001 23767, 08217 001 23571, 08218A001 23567, 08221A001 23423, 08221B001 23416, 08221C001 23423, 08221D001 23416, 08221E058 00046, 08254 001 22158, 08327 230 00254, 08369 062 01824, 08382 060  1458, 08397E006 37580, 08397W006 37580, 08398E006 37600, 08398W006 37600, 08401B068C00037, 08473 162 00282, 08553 062 02738, 08554 062 02766, 08556 062 02798, 08594 006F23505, 08613 300 00663, 08689A227C00337, 08689F227 00365, 08828 009 05932, 08843 035 02348, 12069A000, 13354A114301730, 19C335  96  016, 29C279797 00433, 39C045193000447, 470226000, 53C012075700290, 53C071067400001, 558391062500125"
9,"38, 219, 225, 231, 306, 310, 330, 510, 515",56,"01699A200 01898, 01700A200 01928, 039C50427000145, 04068A514001000, 04936A044 01679, 06751A440 02223, 11968 071900231, 11969 071900293, 12285A001300851, 12347 021800263, 12504 050400117, 12556A042000114, 12557 042000071, 12652 070700131, 13188 001300188, 15526A080500080, 19585 706 00079, 39C007145500259, 39C008145500315, 39C112106000008, 39C12A213000077, 39C132127000009, 39C134127800011, 39C146164500019, 39C147165000009, 39C157188100280, 39C164194800250, 39C169195800023, 39C171196700012, 39C201210600017, 39C204212700001, 39C207214400032, 39C209215600002, 39C308313500050, 39C30A423400494, 39C31A423400501, 39C323344300129, 39C326344300265, 39C328345501690, 39C335345900147, 39C352351500155, 39C373364000002, 39C39 213000095, 39C40 213000180, 39C406408600015, 39C416409600017, 39C427426400026, 39C431427300068, 39C534507001792, 39C535507800043, 39C572533000032, 39C614610400007, 39C621612400036, 39C639628000137, 40038 000 00000, 40039 000 00011"
9,"12, 109, 205, 215, 234, 306, 310, 331, 510",51,"01577A016 04612, 02474B004 25252, 05379A634 00000, 07971A006 37218, 08071 162 00403, 08073 162 00544, 08498E006 23795, 08498W006 23795, 08528 006 33067, 08528A006 33067, 08595E006 23877, 08595W006 23877, 08611 002 04440, 08611W002 04440, 08689B227 00336, 08689C227 00335, 08689D227 00348, 08689E227 00348, 08692 002 03712, 08697 225 00225, 08739 001 01670, 08805 002C08551, 08844 227 00469, 08898 064 01198, 08934 002 09714, 08945 002 12943, 08965E227 00171, 08994 004 03525, 09066E227 00671, 09066W227 00671, 09188 004 01335, 09197 002 14860, 09208 227 00500, 09232 002 10978, 09232A002 10978, 09259 001 00536, 09285 001C13514, 09307 002 15175, 09307A002 15175, 09332 006 33576, 09337 001 07660, 09339 001 07603, 09345 047 06834, 09352A001 08080, 09440 001 07193, 09440A001 07193, 09453 992 01984, 14867A270000672, 15456A412 00044, 16132A106 00162, 23C202020 01610"
