"structure_number","year0","year1","deck0","deck1"
"09007 001 30418",1984,1985,"7","8"
"05290 01EX00386",1984,1985,"6","6"
"08692 002 03712",1984,1985,"8","8"
"02193B002 03783",1984,1985,"7","7"
"08037 002C02503",1984,1985,"8","8"
"08883 001 30622",1984,1985,"7","7"
"09059 123 01243",1984,1985,"8","8"
"06767 026 00099",1984,1985,"6","6"
"02176 002 03512",1984,1985,"8","7"
"02176A002 03512",1984,1985,"5","6"
"09011 001 30398",1984,1985,"8","8"
"05054 026 00077",1984,1985,"7","6"
"01185A003 00400",1984,1985,"8","8"
"09012 001 30388",1984,1985,"8","7"
"09153 01W 00129",1984,1985,"8","8"
"08958 061 00358",1984,1985,"6","6"
"08958B061 00372",1984,1985,"6","6"
"08958D061 00352",1984,1985,"6","6"
"08958E001C30306",1984,1985,"8","7"
"09153R026 00002",1984,1985,"7","8"
"09154 061 00071",1984,1985,"6","6"
"08958F061 00352",1984,1985,"7","7"
"08958G061 00352",1984,1985,"7","7"
"08958H061 00388",1984,1985,"6","6"
"08958I061 00388",1984,1985,"6","6"
"06671 002 02809",1984,1985,"8","8"
"09155 061 00088",1984,1985,"8","8"
"09002 001 30443",1984,1985,"8","8"
"09161 061 00118",1984,1985,"8","8"
"16302 064 01982",1984,1985,"N","N"
"07036 002C00132",1984,1985,"7","7"
"05194 01W 00141",1984,1985,"7","7"
"05194R026 00002",1984,1985,"7","7"
"05195A01W 00193",1984,1985,"7","7"
"05195B01W 00198",1984,1985,"N","N"
"07999 068 00226",1984,1985,"7","7"
"08401B068C00037",1984,1985,"7","7"
"08590C001 30069",1984,1985,"8","8"
"08590D001 30068",1984,1985,"7","7"
"08591B001C30046",1984,1985,"7","7"
"08591C001 30010",1984,1985,"8","8"
"08591D001 30012",1984,1985,"7","7"
"08591E061 00053",1984,1985,"8","8"
"08591F061 00048",1984,1985,"8","8"
"02097 01E 00159",1984,1985,"7","8"
"02350A01EX00020",1984,1985,"6","6"
"08573 001 30253",1984,1985,"8","8"
"08574 001 30243",1984,1985,"8","8"
"08575 001 30229",1984,1985,"8","7"
"08575Q001 30233",1984,1985,"8","8"
"07040 01EX00020",1984,1985,"6","7"
"08205 01W 00622",1984,1985,"8","8"
"09280 061 00233",1984,1985,"8","8"
"01726 120 00038",1984,1985,"6","6"
"01740 02W 01319",1984,1985,"8","8"
"08996 123 00533",1984,1985,"8","8"
"08997 001 30493",1984,1985,"8","8"
"09000 001 30468",1984,1985,"8","8"
"06671A002 02809",1984,1985,"7","8"
"00840 125 01950",1984,1985,"6","6"
"00841 125 02003",1984,1985,"6","6"
"02529 061 00332",1984,1985,"8","8"
"09276 061 00245",1984,1985,"8","8"
"06497 123 00091",1984,1985,"6","6"
"06498 123 00027",1984,1985,"7","8"
"09277 061 00235",1984,1985,"8","8"
"09278 061 00225",1984,1985,"8","8"
"08882 001 30592",1984,1985,"8","8"
"08437 001 29655",1984,1985,"7","7"
"02163A002 00673",1984,1985,"8","7"
"H8588A002 00002",1984,1985,"7","7"
"N8588E001 30170",1984,1985,"6","6"
"04517 01WX00511",1984,1985,"7","6"
"04518 01WX00484",1984,1985,"7","6"
"04527 125 01376",1984,1985,"7","7"
"04528 125 01498",1984,1985,"7","8"
"04534 125 01972",1984,1985,"8","8"
"04543 125 02221",1984,1985,"7","7"
"13514H002 00660",1984,1985,"N","N"
"02733C01WX00014",1984,1985,"7","7"
"13514I064 02224",1984,1985,"N","N"
"N8958A001 30299",1984,1985,"7","7"
"13537 064 01811",1984,1985,"8","8"
"13538 064 01780",1984,1985,"8","8"
"13540 064 01743",1984,1985,"8","8"
"13540A064 01743",1984,1985,"8","8"
"13514C064 02271",1984,1985,"N","N"
"08575R001 30235",1984,1985,"8","7"
"08583 001 30199",1984,1985,"8","7"
"08588A002 00024",1984,1985,"8","8"
"08588B002 00002",1984,1985,"6","6"
"09254B061 00165",1984,1985,"N","N"
"09254C047 07397",1984,1985,"8","8"
"09254D047 07394",1984,1985,"7","7"
"R2163A002 00659",1984,1985,"7","7"
"R8588E001 30150",1984,1985,"6","6"
"02010 01W 00486",1984,1985,"7","7"
"S8588E001 30170",1984,1985,"8","6"
"S8958A001 30299",1984,1985,"7","7"
"02014A02W 01123",1984,1985,"N","N"
"09249T061 00197",1984,1985,"7","7"
"09250 061 00192",1984,1985,"7","7"
"09252 061 00177",1984,1985,"7","7"
"09253 061 00172",1984,1985,"7","7"
"09254A061C00209",1984,1985,"N","N"
"02019 125 00185",1984,1985,"7","7"
"01377A001 30838",1984,1985,"6","5"
"01377C01EX00441",1984,1985,"7","6"
"02237A01E 00262",1984,1985,"7","7"
"13514D002C00664",1984,1985,"N","N"
"13514E002C00676",1984,1985,"8","8"
"09281 061 00220",1984,1985,"8","8"
"08205R01WC00621",1984,1985,"7","7"
"01983 01W 00325",1984,1985,"7","7"
"01984 01W 00350",1984,1985,"8","8"
"09282 061 00214",1984,1985,"8","8"
"09282A061 00212",1984,1985,"8","8"
"09283 061 00207",1984,1985,"7","7"
"09284 061 00202",1984,1985,"8","8"
"06895R026 00002",1984,1985,"7","7"
"06896 01W 00161",1984,1985,"7","7"
"06924 002 04027",1984,1985,"8","8"
"13541 064 01722",1984,1985,"8","8"
"13541A064 01722",1984,1985,"8","8"
"07108A125 02193",1984,1985,"8","8"
"06895 01W 00167",1984,1985,"7","7"
"08588D001 30150",1984,1985,"8","6"
"07297 01EX00487",1984,1985,"8","8"
"07298 01EX00446",1984,1985,"8","8"
"08589A001 30150",1984,1985,"8","6"
"08589B001 30150",1984,1985,"8","7"
"08589C001 30150",1984,1985,"8","7"
"08589D001 30150",1984,1985,"7","6"
"06945 002 01782",1984,1985,"8","8"
"06945A002 01782",1984,1985,"8","8"
"13528 064 01962",1984,1985,"9","8"
"13531 064 01912",1984,1985,"9","8"
"09268 061 00310",1984,1985,"8","8"
"13516 002 00582",1984,1985,"9","8"
"09255 061 00139",1984,1985,"8","8"
"08194 003 00009",1984,1985,"7","7"
"08198 001 29755",1984,1985,"8","8"
"08201 001 29646",1984,1985,"7","7"
"08202 001 29634",1984,1985,"8","8"
"09268W061 00284",1984,1985,"8","8"
"02063 002 04155",1984,1985,"8","8"
"08328 001 30038",1984,1985,"7","7"
"08194R003 00010",1984,1985,"8","8"
"07333 001 30838",1984,1985,"8","8"
"08195 001 29923",1984,1985,"7","7"
"08196 001 29883",1984,1985,"8","8"
"09268A02W 00121",1984,1985,"7","7"
"09391 047 07341",1984,1985,"N","N"
"09392 047 07370",1984,1985,"N","N"
"01994 068 00224",1984,1985,"7","7"
"09377 002 04196",1984,1985,"7","7"
"09382 002 04131",1984,1985,"7","7"
"02194A002 03898",1984,1985,"8","7"
"00823 125 01601",1984,1985,"6","6"
"08402 123 01041",1984,1985,"8","8"
"13507 064 02475",1984,1985,"9","8"
"13507A064 02475",1984,1985,"9","8"
"13507B064C02479",1984,1985,"9","8"
"02062A002 04014",1984,1985,"6","6"
