year,total_quantity,Q1,Q2,Q3,Q4
1,8462,7384,1078,0,0
2,8462,7109,1323,30,0
3,8462,7111,1323,24,4
4,8462,7109,1232,113,8
5,8462,7109,1220,107,26
6,8462,7109,1220,98,35
7,8462,7109,1214,101,38
8,8462,6292,2027,90,53
9,8462,6292,2022,82,66
10,8462,6279,2029,77,77
11,8462,6245,2063,68,86
12,8462,6245,2065,58,94
13,8462,6209,2074,75,104
14,8462,6209,2069,72,112
15,8462,6199,2051,94,118
16,8462,6152,2007,175,128
17,8462,6108,2051,146,157
18,8462,6087,2072,130,173
19,8462,6086,2073,116,187
20,8462,5498,2657,112,195
21,8462,5498,2296,464,204
22,8462,5496,2299,399,268
23,8462,5496,2054,581,331
24,8462,5495,1874,681,412
25,8462,5496,1854,598,514
26,8462,5476,1859,563,564
27,8462,5476,1649,731,606
28,8462,5475,1649,658,680
29,8462,5469,1651,623,719
30,8462,5469,1635,557,801
31,8462,5471,1431,713,847
32,8462,5471,1409,650,932
33,8462,5367,1502,576,1017
34,8462,5363,1452,548,1099
35,8462,5363,1448,508,1143
36,8462,5321,1490,460,1191
37,8462,5322,1488,421,1231
38,8462,5275,1535,398,1254
39,8462,5147,1654,347,1314
40,8462,5141,1658,312,1351
41,8462,5143,1653,282,1384
42,8462,5139,1635,272,1416
43,8462,4915,1856,253,1438
44,8462,4917,1840,248,1457
45,8462,4914,1744,311,1493
46,8462,4914,1646,360,1542
47,8462,4914,1646,339,1563
48,8462,4914,1640,317,1591
49,8462,4911,1636,284,1631
50,8462,4895,1532,375,1660
51,8462,4895,1523,359,1685
52,8462,4881,1536,301,1744
53,8462,4881,1536,278,1767
54,8462,4881,1534,253,1794
55,8462,4881,1519,253,1809
56,8462,4872,1477,291,1822
57,8462,4872,1478,268,1844
58,8462,4872,1411,312,1867
59,8462,4872,1384,318,1888
60,8462,4825,1428,297,1912
61,8462,4699,1555,279,1929
62,8462,4699,1532,274,1957
63,8462,4649,1567,247,1999
64,8462,4636,1516,286,2024
65,8462,4626,1494,284,2058
66,8462,4626,1395,368,2073
67,8462,4626,1370,348,2118
68,8462,4620,1307,352,2183
69,8462,4618,1305,325,2214
70,8462,4620,1296,282,2264
71,8462,4613,1226,345,2278
72,8462,4612,1209,300,2341
73,8462,4607,1182,308,2365
74,8462,4607,1144,313,2398
75,8462,4607,1133,297,2425
76,8462,4609,1132,274,2447
77,8462,4606,1093,288,2475
78,8462,4599,1099,248,2516
79,8462,4599,1056,275,2532
80,8462,4420,1237,249,2556
81,8462,4418,1223,245,2576
82,8462,4378,1226,255,2603
83,8462,4378,1201,245,2638
84,8462,4372,1111,323,2656
85,8462,4372,1105,298,2687
86,8462,4367,1089,267,2739
87,8462,4279,1151,268,2764
88,8462,4185,1229,257,2791
89,8462,4185,1192,260,2825
90,8462,4185,1186,241,2850
91,8462,4179,1183,222,2878
92,8462,4176,1169,214,2903
93,8462,4174,1171,201,2916
94,8462,4169,1174,182,2937
95,8462,4171,1167,168,2956
96,8462,4172,1098,218,2974
97,8462,3679,1576,206,3001
98,8462,3556,1700,175,3031
99,8462,3554,1676,184,3048
100,8462,3555,1672,164,3071
