transition,element_number,target_mean,target_variance,alpha,beta,sample_mean,sample_variance,x_axis_min_sampled_probability,x_axis_max_sampled_probability
CS1 to CS2,12,0.01133669,1.1208e-05,11.325524715577956,987.6895948279533,0.011320200088535999,1.1152581461644976e-05,0.0022223009379917767,0.033394367986616366
CS1 to CS2,109,0.00178429,1.7811e-06,1.7825120304958466,997.2210302725191,0.001775055150000298,1.7505669145890437e-06,3.7264405942938176e-06,0.014832946914937304
CS1 to CS2,205,0.0259889,2.2731e-05,28.915519366287782,1083.6948399135504,0.02596763486526479,2.2579552001867936e-05,0.011044672838354015,0.05332531403814294
CS1 to CS2,215,0.00729235,7.2392e-06,7.285029073196617,991.7110521895811,0.007279601750803976,7.176017618353261e-06,0.0009360468461896918,0.02556839203131668
CS1 to CS2,234,0.00646298,6.4212e-06,6.456526973866472,992.5450131618715,0.006451099548670861,6.375915073289212e-06,0.0006292291398967266,0.024998018433245606
CS1 to CS2,306,0.07156374,6.6442e-05,71.49257598510908,927.513009596487,0.07152212170988692,6.614700851847259e-05,0.043353141779952045,0.11205446369997088
CS1 to CS2,310,0.00226039,2.2553e-06,2.2581102033475386,996.7333042638633,0.0022522360149914134,2.2372629076090772e-06,1.0314515864392837e-05,0.015075890873684479
CS1 to CS2,331,0.01469166,4.7841e-06,44.43959526138086,2980.3782443415544,0.014680142583466952,4.768882451244787e-06,0.007437192411255872,0.026944229748559905
CS2 to CS3,12,0.02206625,1.1208e-05,42.46320356563165,1881.8874933417112,0.02205885643702016,1.1254066369686396e-05,0.01144826068148459,0.03731061586986757
CS2 to CS3,109,0.04401454,1.7811e-06,1039.7691656195611,22583.541804336302,0.04400781228835107,1.7694297230628773e-06,0.03882351752325328,0.04931732944829466
CS2 to CS3,205,0.02327218,2.2731e-05,23.24848359291182,975.7332874707282,0.023260061694236278,2.2707740233968425e-05,0.009590610972343797,0.045262211206955366
CS2 to CS3,215,0.01878556,7.2392e-06,47.81355665699136,2497.415686282339,0.01877736507241992,7.2175363719418895e-06,0.01048837145971076,0.03028597728869435
CS2 to CS3,234,0.02506107,6.4212e-06,95.33366367790838,3708.7203403174663,0.02505556168152093,6.406255528257976e-06,0.016519702081828097,0.03569772378618781
CS2 to CS3,306,0.0834377,6.6442e-05,95.95474669832727,1054.061932792206,0.08341885666036146,6.675298595255906e-05,0.05504507590461741,0.11728296074442898
CS2 to CS3,310,0.13005967,2.2553e-06,6524.718564769309,43642.39753485873,0.13005774776609824,2.2527251809489474e-06,0.12414899442572917,0.13628585108374477
CS2 to CS3,331,0.00480716,4.7841e-06,4.802303817573275,994.1874983885681,0.004804229282984114,4.812038543002356e-06,0.00039185432789467367,0.017860996025434436
CS3 to CS4,12,0.10336845,1.1208e-05,854.6914922578916,7413.706575604126,0.10338125378099097,1.1206190307185183e-05,0.08978658665819547,0.11826572169992507
CS3 to CS4,109,0.3184136,1.7811e-06,38798.26153083642,83050.37034555459,0.31841425475190765,1.7763012360429262e-06,0.312357874076664,0.3241011890265458
CS3 to CS4,205,0.05190357,2.2731e-05,112.31241692612309,2051.5544794380976,0.05191627492993824,2.2805594337026953e-05,0.035578826557324514,0.07651807918767756
CS3 to CS4,215,0.07642043,7.2392e-06,745.0032201978805,9003.740933660984,0.07642540180787691,7.234016536718466e-06,0.06666057273198998,0.08900303323568666
CS3 to CS4,234,0.12897625,6.4212e-06,2256.360389761603,15238.026288108185,0.12898183525396972,6.430530055569504e-06,0.11910168846379254,0.14055520962867946
CS3 to CS4,306,0.18922544,6.6442e-05,436.7454015770261,1871.3237543304783,0.18924758212005854,6.65413700026013e-05,0.1583434860020713,0.2266023079652563
CS3 to CS4,310,0.43203625,2.2553e-06,47005.9335253116,61794.96807799506,0.4320385064068755,2.2551768009560484e-06,0.42587952192195894,0.43943294445683717
CS3 to CS4,331,0.06054514,4.7841e-06,719.7765844443867,11168.487022583142,0.06055183180989283,4.783795860188928e-06,0.051949019118576106,0.0705778998333769
