transition,element_number,target_mean,target_variance,alpha,beta,sample_mean,sample_variance,x_axis_min_sampled_probability,x_axis_max_sampled_probability
CS1 to CS2,12,0.01133669,0.00011208,1.1223494505577956,97.87916250379533,0.01128205590700228,0.00011111543815980527,4.387970275124706e-07,0.12702724925728975
CS1 to CS2,109,0.00178429,1.7811e-05,0.17664534204958465,98.82370888825191,0.0017510941072275364,1.71672377714312e-05,1.1375333369056752e-28,0.08844415990309584
CS1 to CS2,205,0.0259889,0.00022731,2.8681619266287783,107.49287400135503,0.02591285088725216,0.00022536344370120725,0.0004471262460752715,0.15052776034032603
CS1 to CS2,215,0.00729235,7.2392e-05,0.7219397923196618,98.27766833395812,0.007244221081642532,7.133631245069231e-05,4.744958908305845e-09,0.1084876098822743
CS1 to CS2,234,0.00646298,6.4212e-05,0.6398360153866471,98.36031799818714,0.0064210158771513285,6.348396295559736e-05,2.903110143832326e-10,0.11224222695132648
CS1 to CS2,306,0.07156374,0.00066442,7.0848502325109095,91.91570832564871,0.07142639293810596,0.0006603842415698954,0.00936164083111212,0.23155596006580748
CS1 to CS2,310,0.00226039,2.2553e-05,0.22377666933475385,98.77536477738632,0.002236940609776244,2.2156513541406596e-05,8.414725024580472e-25,0.08391204759752702
CS1 to CS2,331,0.01469166,4.7841e-05,4.430737032138087,297.15104692815544,0.014654372048578272,4.7604239367441335e-05,0.0007682979212538594,0.06893693169328667
CS2 to CS3,12,0.02206625,0.00011208,4.226460731563166,187.30860895917115,0.022047802092117832,0.00011271279057671974,0.00129746074920076,0.08620240804683675
CS2 to CS3,109,0.04401454,1.7811e-05,103.93730347595613,2257.4937935196303,0.04399272371155371,1.7686886579225978e-05,0.028927279276765267,0.061997046054933336
CS2 to CS3,205,0.02327218,0.00022731,2.303903397291182,96.69427370907283,0.02323454461709004,0.0002268896234308231,0.00031290987392651145,0.12071140479821504
CS2 to CS3,215,0.01878556,7.2392e-05,4.764448661699137,248.8584756322339,0.018758012115409832,7.211520471346372e-05,0.0016491293681444674,0.06614148999700753
CS2 to CS3,234,0.02506107,6.4212e-05,9.510811404790836,369.9945889947466,0.025042644613652607,6.402887723144859e-05,0.005063456738015647,0.06628672282434787
CS2 to CS3,306,0.0834377,0.00066442,9.520380739832726,104.5812872092206,0.0833855669505328,0.0006682499817711835,0.016481122151798953,0.21056424389354675
CS2 to CS3,310,0.13005967,2.2553e-05,652.3548027739308,4363.4568071888725,0.1300535501112597,2.252989406193316e-05,0.11187491333257538,0.15027048251116742
CS2 to CS3,331,0.00480716,4.7841e-05,0.4759039377573275,98.52307628285679,0.004810501837785706,4.8348632310889295e-05,2.6123202557823912e-11,0.07700472471831483
CS3 to CS4,12,0.10336845,0.00011208,85.37611762078917,740.5636891654127,0.10340867915518913,0.00011224614282014583,0.064138758702002,0.15415827432045545
CS3 to CS4,109,0.3184136,1.7811e-05,3879.539580843642,8304.42360679546,0.3184156508858227,1.776388707075562e-05,0.2994035958656186,0.3365104117760186
CS3 to CS4,205,0.05190357,0.00022731,11.18452847961231,204.30216115680977,0.05194541624247601,0.00022877058294093597,0.012399512120127907,0.14820298727778788
CS3 to CS4,215,0.07642043,7.2392e-05,74.43154363278806,899.5428717530986,0.07643589404954376,7.242028436181104e-05,0.048179422938729156,0.1199188528749416
CS3 to CS4,234,0.12897625,6.4212e-05,225.5199603511603,1523.0187074358184,0.12899401417611275,6.433951057736101e-05,0.09921324648278886,0.1673692989599048
CS3 to CS4,306,0.18922544,0.00066442,43.504237261702606,186.40267832904783,0.18929519931758235,0.0006665693941343938,0.10136906639510286,0.3169463701482953
CS3 to CS4,310,0.43203625,2.2553e-05,4700.2045199061595,6178.985640424506,0.4320433832824551,2.2552361845547642e-05,0.4126176109593728,0.45548249426991483
CS3 to CS4,331,0.06054514,4.7841e-05,71.92316781843867,1116.003192884314,0.06056616067315423,4.791208081390045e-05,0.036011967548996215,0.09532611408187708
