transition,element_number,target_mean,target_variance,alpha,beta,sample_mean,sample_variance,x_axis_min_sampled_probability,x_axis_max_sampled_probability
CS1 to CS2,12,0.01133669,0.001,0.11572685263371774,10.092442607210181,0.011207430595977933,0.000984780759543859,1.7448245514366172e-44,0.5971975230254776
CS1 to CS2,109,0.00178429,0.001,0.001393720176435152,0.7797125890194647,0.001575110729277543,0.0009008642892660876,0.0,0.9997058667273877
CS1 to CS2,205,0.0259889,0.001,0.6318805244009875,23.68159655238901,0.025818137388888912,0.0009874492603308906,2.783779380435738e-09,0.3871607701757017
CS1 to CS2,215,0.00729235,0.001,0.04549822324680495,6.193673408230696,0.007151874750404526,0.0009655797544355731,2.542029001641542e-101,0.710016115568602
CS1 to CS2,234,0.00646298,0.001,0.035037171091767384,5.386172718427833,0.006372394350102263,0.0009659213219086421,4.0672516937041075e-138,0.7810288605524092
CS1 to CS2,306,0.07156374,0.001,4.683300831615698,60.75907028559671,0.07139331877757465,0.0009934070269934177,0.004638775113158755,0.27919486598450344
CS1 to CS2,310,0.00226039,0.001,0.002837423799176703,1.2524432132487235,0.002122540479615717,0.0009368950054278255,0.0,0.9894146111957088
CS1 to CS2,331,0.01469166,0.001,0.19798209406057815,13.277833032383823,0.01456100314065696,0.000986481731579744,3.626797950524784e-25,0.525272656199361
CS2 to CS3,12,0.02206625,0.001,0.4541086540935996,20.1252219568439,0.022069592071058713,0.0010098356360383513,2.2155453995607316e-11,0.3285804247233676
CS2 to CS3,109,0.04401454,0.001,1.8079967151821943,39.26926355340619,0.04382080466016428,0.0009888071532977848,0.00010041873984030949,0.2578839047858405
CS2 to CS3,205,0.02327218,0.001,0.5057181004740586,21.22486753757354,0.023217312690282946,0.0009942877329693193,6.27948415282104e-10,0.3057189268138697
CS2 to CS3,215,0.01878556,0.001,0.3274823317772439,17.105180403709156,0.018706438871664365,0.000986246224789505,5.995360159205007e-14,0.32872536401993785
CS2 to CS3,234,0.02506107,0.001,0.5872563733512692,22.84575639710383,0.024993650016923157,0.0009911857091785508,3.0616552670000796e-09,0.2993748975298567
CS2 to CS3,306,0.0834377,0.001,6.29753134779366,69.17831887091636,0.08337702857722203,0.0010060952028575502,0.009732010464691805,0.2468266328418251
CS2 to CS3,310,0.13005967,0.001,14.585431432697971,97.55872080679312,0.13001666578672305,0.0009998955827922981,0.037520556919995,0.2903793567504858
CS2 to CS3,331,0.00480716,0.001,0.018190539627808304,3.7658606731065922,0.004930438876358345,0.0010385114962632518,2.446424345648124e-223,0.7050801037987756
CS3 to CS4,12,0.10336845,0.001,9.47717234881405,82.20624119578345,0.10348540100328417,0.0010061165760383236,0.01739995432326255,0.28356910574812016
CS3 to CS4,109,0.3184136,0.001,68.7857371390357,147.24064219600433,0.318427176954027,0.000997846132993404,0.18798546523536153,0.4599503099937947
CS3 to CS4,205,0.05190357,0.001,2.502249799197374,45.70733962205773,0.05199736810975116,0.0010111454868591656,0.0007610434071712177,0.30723898326554905
CS3 to CS4,215,0.07642043,0.001,5.317360104433353,64.26298777418175,0.0764738730462934,0.0010045230161151333,0.007546177433900996,0.28682575858666065
CS3 to CS4,234,0.12897625,0.001,14.360393267033706,96.98098366890378,0.12904755387729788,0.0010041834875589215,0.03680190171894761,0.30703554123518
CS3 to CS4,306,0.18922544,0.001,28.841585048265248,123.57758780854115,0.18931072543504437,0.0010037942369685085,0.08558027224334125,0.3492249379511485
CS3 to CS4,310,0.43203625,0.001,105.58142000098987,138.79950868494763,0.43208313739949744,0.0010001830821685616,0.3069471131733333,0.5884928609138278
CS3 to CS4,331,0.06054514,0.001,3.3832276716446645,52.49619835073574,0.06063771672293496,0.0010092727477410111,0.001522911135730512,0.284895806956947
